Rows,Variety,TimeNoIndex,TimeWithIndex,Speedup
10,10,0.000000291,0.000000245,1.19
20,10,0.000000586,0.000000310,1.89
30,10,0.000000776,0.000000385,2.02
40,10,0.000001085,0.000000263,4.13
50,10,0.000000979,0.000000287,3.41
60,10,0.000001146,0.000000275,4.17
70,10,0.000001379,0.000000271,5.09
80,10,0.000001510,0.000000299,5.05
90,10,0.000001674,0.000000267,6.27
100,10,0.000001839,0.000000290,6.35
200,10,0.000014836,0.000000411,36.05
300,10,0.000005559,0.000000468,11.88
400,10,0.000007886,0.000000557,14.15
500,10,0.000009308,0.000000633,14.71
600,10,0.000012489,0.000001248,10.01
700,10,0.000018683,0.000001271,14.70
800,10,0.000020528,0.000001321,15.54
900,10,0.000023805,0.000001515,15.71
1000,10,0.000027542,0.000001581,17.42
2000,10,0.000051721,0.000002224,23.26
3000,10,0.000077924,0.000002840,27.44
4000,10,0.000108706,0.000003965,27.42
5000,10,0.000153201,0.000005642,27.15
6000,10,0.000164398,0.000005643,29.14
7000,10,0.000138574,0.000006233,22.23
8000,10,0.000184971,0.000005430,34.07
9000,10,0.000242569,0.000008114,29.90
10000,10,0.000282385,0.000006278,44.98
10,100,0.000000202,0.000000146,1.38
20,100,0.000000579,0.000000418,1.39
30,100,0.000000817,0.000000343,2.38
40,100,0.000000860,0.000000362,2.38
50,100,0.000000784,0.000000289,2.71
60,100,0.000001122,0.000000192,5.83
70,100,0.000001298,0.000000198,6.56
80,100,0.000001738,0.000000329,5.28
90,100,0.000002208,0.000000301,7.34
100,100,0.000002562,0.000000389,6.59
200,100,0.000007736,0.000000563,13.75
300,100,0.000007869,0.000000561,14.02
400,100,0.000010461,0.000000641,16.31
500,100,0.000012208,0.000000516,23.67
600,100,0.000015115,0.000000639,23.65
700,100,0.000018052,0.000000732,24.68
800,100,0.000021108,0.000000640,32.97
900,100,0.000016729,0.000000613,27.28
1000,100,0.000026453,0.000000818,32.33
2000,100,0.000050712,0.000000878,57.76
3000,100,0.000075467,0.000000995,75.85
4000,100,0.000103339,0.000001090,94.76
5000,100,0.000131125,0.000001188,110.42
6000,100,0.000154860,0.000001273,121.65
7000,100,0.000126592,0.000001370,92.40
8000,100,0.000207620,0.000001523,136.33
9000,100,0.000241003,0.000001554,155.13
10000,100,0.000253101,0.000001823,138.81
10,1000,0.000000204,0.000000290,0.70
20,1000,0.000001112,0.000000293,3.79
30,1000,0.000000749,0.000000270,2.77
40,1000,0.000001028,0.000000347,2.96
50,1000,0.000001345,0.000000327,4.12
60,1000,0.000001072,0.000000311,3.44
70,1000,0.000001878,0.000000366,5.13
80,1000,0.000002170,0.000000507,4.28
90,1000,0.000002245,0.000000359,6.25
100,1000,0.000002435,0.000000370,6.59
200,1000,0.000005260,0.000000395,13.30
300,1000,0.000005064,0.000000486,10.41
400,1000,0.000010457,0.000000403,25.94
500,1000,0.000013099,0.000000515,25.44
600,1000,0.000016261,0.000000453,35.93
700,1000,0.000016818,0.000000383,43.89
800,1000,0.000019759,0.000000408,48.43
900,1000,0.000022396,0.000000520,43.04
1000,1000,0.000025093,0.000000471,53.29
2000,1000,0.000054009,0.000000610,88.50
3000,1000,0.000077488,0.000000646,119.88
4000,1000,0.000101584,0.000000676,150.18
5000,1000,0.000126992,0.000000828,153.28
6000,1000,0.000106959,0.000000744,143.76
7000,1000,0.000182717,0.000000775,235.76
8000,1000,0.000208898,0.000000727,287.42
9000,1000,0.000240211,0.000000783,306.63
10000,1000,0.000261817,0.000000842,310.87
